,SMILES,Genotoxicity(0.5기준)
101,[Ca++].[O-][N+]([O-])=O.[O-][N+]([O-])=O,0
102,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[O-]P1(=O)OP([O-])(=O)OP([O-])(=O)OP([O-])(=O)OP([O-])(=O)OP([O-])(=O)O1,0
103,[Na+].CC1=NN(C2=[O][Cr+3]3([O-])[O-]C4=C(C=C(C=C4S([O-])(=O)=O)[N+]([O-])=O)[N]3=N[C-]12)C1=CC=CC=C1,0
104,O=C1OC(=NC2=CC=CC=C12)C1=C(NS(=O)(=O)C2=CC=C3C=CC=CC3=C2)C=CC=C1,0
105,CCCCCC[C@H](C\C=C/CCCCCCCC(=O)OCC(COC(=O)CCCCCCC\C=C/C[C@@H](CCCCCC)OC(C)=O)OC(=O)CCCCCCC\C=C/C[C@@H](CCCCCC)OC(C)=O)OC(C)=O,0
106,C=CCOC1=NC(OCC=C)=NC(OCC=C)=N1,0
107,CCOC(=O)N(CC)C1=CC=CC=C1,0
108,N=C(C1=CC=CC=C1)C1=CC=CC=C1,0
109,CC(C=O)=CC1=CC=CC=C1,0
110,[Rh+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,0
111,COC(=O)CC1=CC=CC=C1,0
112,CN(C)C(=O)NC1=CC=CC=C1,0
113,[Dy+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,0
114,CC(=C)C(=O)OC1CCCCC1,0
115,COC(CC1=CC=CC=C1)OC,1
116,NC1=C(C=C(C=C1)N=NC1=CC=C(C=C1)S(O)(=O)=O)S(O)(=O)=O,1
117,NC1=CC=C(NC2=CC=CC=C2)C=C1,0
118,[Na+].[Na+].[O-]P([O-])(F)=O,0
119,CC1=C(Br)C(=O)N(C2CCCC2)C2=NC(Cl)=NC=C12,0
120,O=C=NC1=CC=C(CC2=CC=C(C=C2)N=C=O)C=C1,0
121,[Gd+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,0
122,CC(CC1=CC=C(F)C=C1)C(Cl)=O,0
123,CC(C)NC1=CC=C(NC2=CC=CC=C2)C=C1,0
124,CN(C)CC1=C(Cl)C=CC=C1,0
125,NC1=CC=C(OC2=CC=C(N)C=C2)C=C1,1
126,C1CCC(CC1)NC1CCCCC1,0
127,C(OC1=CC(OCC2CO2)=CC=C1)C1CO1,1
128,OCCN(CCO)CCS(O)(=O)=O,0
129,SCC(=O)OCC(COC(=O)CS)(COC(=O)CS)COC(=O)CS,0
130,OC(=O)CCCC(=O)OOC(=O)CCCC(O)=O,0
131,CN1CCO[Si](C)(C)C1,0
132,CCOC(=O)CC1=CC=CC=C1,0
133,NCCNCC1=CC=C(Cl)N=C1,1
134,CC(=O)CC(=O)NC1=CC=CC=C1,0
135,OP(O)([O-])=O.OP(O)([O-])=O.O=C1C[NH2+]CC2[NH+]1CCC1=C2C=CC=C1,0
136,N=C(NC1=CC=CC=C1)NC1=CC=CC=C1,0
137,S=C(NC1=CC=CC=C1)NC1=CC=CC=C1,0
138,O=C(OC1=CC=CC=C1)OC1=CC=CC=C1,0
139,O.O.[Na+].[Na+].[O-][W]([O-])(=O)=O,0
140,CC(C)COC(=O)CC1=CC=CC=C1,0
141,O=C(CC1=CC=CC=C1)OCC1=CC=CC=C1,0
142,CCO[Si](CCC1CCC2OC2C1)(OCC)OCC,0
143,CC(C)CCOC(=O)CC1=CC=CC=C1,0
144,O=C(CC1=CC=CC=C1)OCCC1=CC=CC=C1,0
145,COC1=CC=C(C=C1)C(OC[C@H]1O[C@H](C[C@@H]1OP(OCCC#N)N(C(C)C)C(C)C)N1C=CC(NC(=O)C2=CC=CC=C2)=NC1=O)(C1=CC=CC=C1)C1=CC=C(OC)C=C1,0
146,CCOCC(C)OCC,0
147,CC(C)=CCC\C(C)=C\COC(=O)CC1=CC=CC=C1,0
148,COB1OB(OC)OB(OC)O1,0
149,CC(=O)CCCCCl,1
150,CCC(C)C(=O)\C=C\C,0
151,CCCCCCCCCCCC(=O)OC(C)C,0
152,ClC1=C(Cl)C=C(C=C1)N=C=O,0
153,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2OC2=CC3=C(C(=O)C[C@H](O3)C3=CC=C(O)C=C3)C(O)=C2)[C@H](O)[C@H](O)[C@H]1O,0
154,OCCOC1=CC(OCCO)=CC=C1,0
155,CC(C)CC(CC(C)C)OC(C)=O,0
156,C=CCN1C(=O)N(CC=C)C(=O)N(CC=C)C1=O,0
157,[Fe++].[CH-]1C=CC=C1.[CH-]1C=CC=C1,0
158,CCCCN(CCCC)C(=S)SCSC(=S)N(CCCC)CCCC,0
159,COC1=CC(N)=C(OC)C=C1,0
160,[Na+].OC(CNC1CCCCC1)CS([O-])(=O)=O,0
161,CC(O)CN(CCN(CC(C)O)CC(C)O)CC(C)O,0
162,FC(F)(F)\C=C\Cl,0
163,CC(C)N(C(C)C)P(OCCC#N)N(C(C)C)C(C)C,0
164,CCCN(CCC)CCC,0
165,CS(O)(=O)=O.CS(O)(=O)=O.CN(C)CCOC(=O)C1=C(C=CC=C1)N=NC1=CC=C(O)C(N=NC2=C(C=CC=C2)C(=O)OCCN(C)C)=C1O,0
166,OCCN(CCO)CCO,0
167,CC(=O)OCC(COC(C)=O)OC(C)=O,0
168,CCCCN(CCO)CCO,0
169,CCCCN(CCO)CCCC,0
170,CCCCN(CCCC)CCCC,0
171,CCCCCCN(CCCCCC)CCCCCC,0
172,CCOC(=O)C1=CC=C(C=C1)N(C)C,0
173,CC1=CC=C(NC2=CC(C(O)=O)=C(NC3=CC=C(C)C=C3)C=C2C(O)=O)C=C1,0
174,[Ag+].[Ag+].[O-]S([O-])(=O)=O,0
175,ClB(Cl)Cl,0
176,[Ba++].[O-][Cr]([O-])(=O)=O,1
177,O.O.O.O.[Ce+3].OS([O-])(=O)=O.[O-]S([O-])(=O)=O,0
178,[Cs+].[Cs+].[O-]S([O-])(=O)=O,0
179,CCCCCCCCCCCC(=O)OCC(C)(C)C=O,0
180,CCOC(=O)CCNC1=CC=CC=N1,0
181,CCCCCCOCC(O)CO,0
182,OCC(O)COC1CCCCC1,0
183,CC(C)(O)CCC1=CC=CC=C1,0
184,[Cl-].C[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,0
185,CCCCC(CC)COC(=O)C=C,0
186,OC1=C(N=C2C=CC=CC2=C1Br)C1C(=O)C2=C(C=CC=C2)C1=O,0
187,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,0
188,CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC,0
